type,title,reference,status,description,date_lodged,date_signed,eiar,nis,parties,Latitude,Longitude
Referral,"Griffith Park, Drumcondra, Dublin 9.",311797,Is development and is exempted development,Whether the provision of a cafe and toilet building measuring approx. 12.19m long x 2.44m wide x 2.59m high within ...,26/10/2021,25/04/2023,No,No,"Gavin Smyth
								(1st party Referrer); Dublin City Council North
								(Owner Occupier); Gavin Smyth
								(1st party Referrer)
															(Active); Dublin City Council North
								(Owner Occupier); Dublin City Council North
								(Owner Occupier); Dublin City Council North
								(Owner Occupier); Dublin City Council North
								(Owner Occupier); Dublin City Council North
								(Owner Occupier); Dublin City Council North
								(Owner Occupier); Dublin City Council North
								(Planning Authority); Dublin City Council North
								(Planning Authority); Dublin City Council North
								(Planning Authority); Dublin City Council North
								(Planning Authority); Dublin City Council North
								(Planning Authority); Dublin City Council North
								(Planning Authority)",53.37064145,-6.26249584464048
Planning Appeal,"10-12 Newmarket and No. 32 Mill Street, Dublin 8",311864,Grant permission with revised conditions,"Demolition of all buildings on site, construction of 2 buildings with retail units and 33 apartments and all ancill...",03/11/2021,16/03/2023,No,No,"Creedon Group Ltd
								(Applicant); Teelings Whiskey Company
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"c.1.2087 ha. site located at the Former Oatlands Monastery (A94 W7W7), to the rear of Oatlands ...",311936,Withdrawn,Alterations to the permitted residential development comprising revisions to wastewater and surface drainage with a...,12/11/2021,11/04/2023,No,No,"Rhinescape Limited
								(Applicant); Rhinescape Limited
								(1st Party Appellant)
															(Active)",,
Planning Appeal,"211 Mount Prospect Avenue, Clontarf, Dublin 3",311939,Grant permission with revised conditions,Demolition of dwelling and construction of 5 bedroom dwelling,12/11/2021,09/02/2023,No,No,"Aine & Martin Commins
								(Applicant); John McDonagh and Caitriona Gahan
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"7 & 8 Templemore Avenue, Rathgar, Dublin 6",311960,Refuse Permission,Removal of plinth and railing and construction of 2 vehicular entrances and vehicle charging points.,16/11/2021,28/02/2023,No,No,"Enda Keogh & Laurence Flavin
								(Applicant); Marie McGee
								(3rd Party Appellant)
															(Active); Residents of Templemore Avenue
								(3rd Party Appellant)
															(Active); Philip O'Reilly
								(3rd Party Appellant)
															(Active); Dermot Rafferty and Others
								(3rd Party Appellant)
															(Active)",53.3141419,-6.2693063
Planning Appeal,"18, Merrion Road, Nos 1 and 2 Ballsbridge Avenue, Ballsbridge, Dublin 4",312043,Grant permission with conditions,Demolition to rear of site to allow construction of 9 apartments and associated site works.,24/11/2021,13/04/2023,No,No,"Merrion Courtyard Ltd
								(Applicant); Merrion Courtyard Ltd
								(1st Party Appellant)
															(Active); Seamus Fitzpatrick
								(3rd Party Appellant)
															(Active)",53.331131,-6.242848406632654
Planning Appeal,"15 & 16 Charleston Road, Ranelagh, Dublin 6. D06 R578 & D06 TE84",312056,Grant permission with revised conditions,"PROTECTED STRUCTURE: change of use from guesthouses to two individual family residences, Protected Structures, bein...",26/11/2021,11/05/2023,No,No,"Eastpoint BP Ltd
								(Applicant); Patricia O'Neill
								(3rd Party Appellant)
															(Active)",53.32453531415043,-6.256804062677653
Planning Appeal,"'Annefield' (Protected Structure) & St Anne's, Dundrum, Dublin 14",312061,Grant Permissions with Conditions,Amendments to the previously permitted development as granted under reg. ref. D20A/0189 (ABP reg. Ref. 30764-20) in...,26/11/2021,31/01/2023,No,No,"Cormal Limited
								(Applicant); Cormal Limited
								(1st Party Appellant)
															(Active)",,
Planning Appeal,"Ball Alley House (Protected Structure), Leixlip Road, Lucan, Co. Dublin",312065,Refuse Permission,"Removal of hedging, removal of 52 car parking spaces, construction of a 4-storey apartment building containing 14 a...",29/11/2021,08/05/2023,No,No,"Gerry Teague
								(Applicant); Gerry Teague
								(1st Party Appellant)
															(Active)",53.3554596,-6.4546703
Planning Appeal,"Riverview, Church Road, Mulhuddart, Dublin 15",312071,Refuse Permission,Construction of a 2-storey apartment block consisting of a 1 No. bedroom apartment at ground floor and first floor....,29/11/2021,20/02/2023,No,No,"MSN Holdings Limited
								(Applicant); MSN Holdings Limited
								(1st Party Appellant)
															(Active)",53.315817509399295,-6.234892572163935
Planning Appeal,"Ballyroan Community & Youth Centre, Marian Road, Rathfarnham, Dublin 14",312093,Refuse Permission,Replace chimney flue with telecommunications structure and all associated site works,01/12/2021,15/02/2023,No,No,"OnTower Ireland Limited
								(Applicant); OnTower Ireland Limited
								(1st Party Appellant)
															(Active); OnTower Ireland Limited
								(1st Party Appellant)
															(Invalid)",53.290126400000005,-6.298759157351487
Planning Appeal,"45-49 Patrick Street, adn Rogans Court, Dun Laoghaire, Co Dublin",312104,Refuse Permission,Demolition of properties Nos 46A-49 Patrick Street. Construction of a Build to Rent apartment complex of 3-4 storey...,03/12/2021,18/05/2023,No,No,"DKG Properties Limited
								(Applicant); DKG Properties Limited
								(1st Party Appellant)
															(Active)",53.34110280001001,-6.272237232796172
Planning Appeal,"Prospect House, 2-3 Prospect Road, Glasnevin, Dublin 9",312150,Refuse Permission,"Demolition of the existing rear first floor balcony, and the construction of a three-storey extension and, all asso...",08/12/2021,30/05/2023,No,No,"By-Tek Office Systems Limited
								(1st Party Appellant)
															(Active)",53.3647632,-6.272111
Planning Appeal,"Within the site of the former Stella Maris Sisters of Charity Convent, Carrickbrack Road, Howth...",312176,Refuse Permission,Demolition of house and attached flat and the construction of house and detached garage. associated site works. The...,10/12/2021,21/03/2023,No,Yes,"Greg & Lisa Gallagher
								(Applicant); Roxanne White
								(3rd Party Appellant)
															(Active)",53.36609620074952,-6.072490871678738
Planning Appeal,"Site at Porterstown Road, Porterstown, Dublin 15, D15 Y95T",312190,Refuse Permission,Development of 99 apartments in a 5 storey apartment block and all associated site works,13/12/2021,06/01/2023,No,No,"Bartra Property (Porterstown)
								(Applicant); Bartra Property (Porterstown)
								(1st Party Appellant)
															(Active)",,
Planning Appeal,"266, Clogher Road, Crumlin, Dublin 12",312220,Grant permission with revised conditions,construction of dwelling accessed from Clogher Green all other associated site works,15/12/2021,11/04/2023,No,No,"Mr. Michael Finnegan & Ms. Olga Ramos
								(Applicant); Colm Treacy and others
								(3rd Party Appellant)
															(Active)",53.327476408003164,-6.292457941284865
Planning Appeal,"Site at the junction of Appian Way and Leeson Street Upper, Dublin 6 (adjacent to No. 1 Leeson ...",312225,Refuse Permission,Construction of 10 storey apartment building with 44 units and all associated site works.,15/12/2021,28/04/2023,No,No,"RGRE J & R Valerys Limited
								(Applicant); RGRE J & R Valerys Limited
								(1st Party Appellant)
															(Active)",,
Strategic Housing Development - Application,"Lands at Hollystown-Kilmartin, Townlands of Hollystown, Kilmartin, Hollywoodrath, Cruiserath, Y...",312271,Grant Perm. w   Conditions,"Demolition of an existing shed, construction of 548 no. residential units (401 no. houses, 147 no. apartments), 2 n...",17/12/2021,23/03/2023,Yes,No,"Glenveagh Homes Limited
								(Applicant); Glenveagh Homes Limited
															(Invalid); Glenveagh Homes Limited
															(Active); Inland Fisheries Ireland",,
Planning Appeal,"Osprey, Kilrock Road, Howth, Co. Dublin, D13 N259",312281,Refuse Permission,Modifications to previously granted permission (F19A/0405) to include addition of a set back 3rd floor. 9 apartment...,20/12/2021,20/02/2023,No,Yes,"Emmet McLoughlin
								(Applicant); Emmet McLoughlin
								(1st Party Appellant)
															(Active)",53.3855377,-6.060586874788528
Planning Appeal,"34, Tanglewood, Silchester Road, Glenageary, Co Dublin.",312307,Grant Permissions with Conditions,"Demolition of single storey structures and sheds, Subdivision of site to rear of dwelling and the construction of a...",22/12/2021,10/03/2023,No,No,"Elton Primus Limited
								(Applicant); Elton Primus Limited
								(1st Party Appellant)
															(Active)",53.28308,-6.129328658775735
Planning Appeal,"Tanglewood, 34 Silchester Road, Glenageary, Co. Dublin.",312308,Grant Permissions with Conditions,"Demolition of single storey structures and sheds, Subdivision of site to rear of dwelling and the construction of 2...",22/12/2021,10/03/2023,No,No,"Elton Primus Limited
								(Applicant); Elton Primus Limited
								(1st Party Appellant)
															(Active)",53.28308,-6.129328658775735
Strategic Housing Development - Application,"In the townlands of Kellystown, Porterstown and Diswellstown, Clonsilla, Dublin 15.  (www.kelly...",312318,Grant Perm. w   Conditions,"349 no. residential units (123 no. houses, 226 no. apartments), creche and associated site works.",22/12/2021,02/03/2023,No,No,"Castlethorn Construction Unlimited Company
								(Applicant); Castlethorn Construction Unlimited Company
								(Applicant)
															(Invalid); Castlethorn Construction Unlimited Company
								(Applicant)
															(Active)",,
Planning Appeal,"Uncle Toms Cabin, Dundrum Road, Dundrum, Dublin 14, D14 W895",312319,Split decision,Retention of change of use from car parking spaces to outdoor seating and dining area; erection of glazed windbreak...,21/12/2021,29/05/2023,No,No,"UTC Developments Limited
								(Applicant); UTC Developments Limited
								(1st Party Appellant)
															(Active)",53.3104762,-6.247721
Planning Appeal,"41, Laverty Court, Quinn's Lane, Dublin 2, D02 H348.",312340,Grant permission with conditions,Removal of the existing external concrete staircase. Construction of a two storey extension. Construction of a sing...,30/12/2021,17/04/2023,No,No,"Rebecca Yates and Charles Von Metzradt
								(Applicant); Rebecca Yates and Charles Von Metzradt
								(1st Party Appellant)
															(Active)",53.3324641,-6.2578041
Pre-Application Consultation Request,"At various locations between Forest Little, Belcamp, Clonshaugh and Harristown, Co. Dublin.",312348,Is a Strat. Infrast. Dev.,"Construction of three new 110Kv Circuits. Newbury-Ballystruan 110kV, Ballystruan-Forest Little 110kV and Forest Lit...",23/12/2021,23/01/2023,No,No,"Electricity Supply Board
								(Applicant); Electricity Supply Board
															(Active); Electricity Supply Board
								(Prospective Applicant)
															(Active)",,
Planning Appeal,"Immediately adjacent to and south of no. 122 Rathfarnham Road, Terenure, Dublin 6W",312369,Grant permission with revised conditions,"Retention for alterations to house from previous application 3316/19, construction of a retaining wall and all anci...",04/01/2022,10/05/2023,No,No,"Padraig & Ciara Corrigan
								(Applicant); David Graham
								(3rd Party Appellant)
															(Active); Eimear and Michael O'Doherty
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"Ballough, Lusk, Co. Dublin.",312393,Grant permission with revised conditions,Extenstion to agricultural store,07/01/2022,01/03/2023,No,No,"Alan Hartford
								(Applicant); David Mulcahy
								(3rd Party Appellant)
															(Active); David Llewellyn
								(3rd Party Appellant)
															(Active)",53.532713099999995,-6.194506333569558
Planning Appeal,"28 Spencer Villas, Glenageary, Co. Dublin, A96 E2K0",312417,Grant permission with conditions,"Permission for the demolition of the existing three storey detached dwelling and the two garages, the construction ...",10/01/2022,23/02/2023,No,No,"Brinnin Holdings Ltd
								(Applicant); Brinnin Holdings Limited
								(1st Party Appellant)
															(Active); Eda Smyth
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"St. Mary's Home, Pembroke Park and 28A Clyde Lane, Dublin 4",312425,Grant permission with revised conditions,Demolition of extensions and ancillary structures; Alterations and change of use to residential use. Construction o...,10/01/2022,15/05/2023,No,No,"The Pembroke Road Partnership
								(Applicant); Olive Moran and Philip Dunne
								(3rd Party Appellant)
															(Invalid); Noeleen Kenny
								(3rd Party Appellant)
															(Active); Eugene and Joan Swaine
								(3rd Party Appellant)
															(Invalid); Barbara Rafferty
								(3rd Party Appellant)
															(Active); Eugene and Joan Swaine
								(3rd Party Appellant)
															(Active); Olive Moran and Philip Dunne
								(3rd Party Appellant)
															(Active); Michael Wall
								(3rd Party Appellant)
															(Active); Dermot Gleeson
								(3rd Party Appellant)
															(Active); Charles Normand
								(3rd Party Appellant)
															(Invalid); Caitriona Ni Chuiv
								(3rd Party Appellant)
															(Active); Herbert Park Area Residents Association
								(3rd Party Appellant)
															(Active)",53.32749355,-6.240498072673761
Planning Appeal,"Glenmalure, Castleknock Road, Castleknock, Dublin 15, D15 PH3A",312431,Grant permission with revised conditions,"Modifications to permitted apartment building comprising change from a 3 and part 4 storey, to a 4 story building t...",11/01/2022,10/02/2023,No,No,"Castleshore Investments Ltd.
								(Applicant); Shane Loughrey-Grant
								(3rd Party Appellant)
															(Active)",53.368774450000004,-6.396557893334801
Planning Appeal,"Site of c.0.03 ha located at Stable Lane, Off Clonmel Street, at rear of 87-91 Harcourt Street,...",312444,Grant permission with revised conditions,Protected Structure: Construction of 8 apartments in five-storey building and all associated site works,11/01/2022,25/04/2023,No,No,"Talcvale Ltd
								(Applicant); Talcvale Ltd
								(1st Party Appellant)
															(Active); IPB Insurance CLG; ByrneWallace LLP
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"Airfield in the townlands of Cloghran, Corballis, Forrest Great, Forrest Little, Collinstown & ...",312476,Contribution Appeal Decided,"For full planning permission to extend the North Apron in the Airfield at Dublin Airport, Co Dublin to facilitate t...",13/01/2022,06/03/2023,Yes,No,"DAA
								(Applicant); DAA
								(1st Party Appellant)
															(Active); Irish Aviation Authority
								(1st Party Appellant)
															(Active)",,
Planning Appeal,"The Cottage, Ward Lower, The Ward, Co Dublin, D11 CP44",312491,Refuse Permission,Retention of existing single storey office/utility area.,14/01/2022,14/03/2023,No,No,"Maude Joyce
								(Applicant); Maude Joyce
								(1st Party Appellant)
															(Active)",53.316552200000004,-6.228875321714562
Planning Appeal,"Former St. Clare's Convent and No's 115-119, Harold's Cross Road, Harold's Cross, Dublin 6",312497,Refuse Permission,Protected Structure. Construction will provide for a unit mix of 13 apartment as amendments to previously granted a...,13/01/2022,15/05/2023,No,No,"St. Clare's GP3 Ltd
								(Applicant); St Clare's GP3 Ltd.
								(1st Party Appellant)
															(Active)",53.3235171,-6.2801051
Planning Appeal,"Belinstown, Ballyboughal, Co. Dublin",312521,Refuse Permission,"Extension to warehouse, change of use part of warehouse to office, new secturity hut and new HGV parking area",18/01/2022,20/02/2023,No,No,"Aramex Ireland Limited
								(Applicant); Aramex Ireland Limited
								(1st Party Appellant)
															(Active)",53.4999411,-6.269456371602109
Planning Appeal,"76, Patrick Street, Dun Laoghaire, Co Dublin.",312530,Grant Permissions with Conditions,Change of use of the existing structure from part workshop/ part office to residential usage and single storey exte...,19/01/2022,30/05/2023,No,No,"Alison and Mark Whelan
								(Applicant); Alison and Mark Whelan
								(1st Party Appellant)
															(Active)",53.29159712981802,-6.13713779574876
Planning Appeal,"23A The Old Vicarage, Church Road, Swords, Co. Dublin, K67 HK76",312557,Refuse Permission,Retention permission  for lower ground studio apartment.,21/01/2022,13/02/2023,No,No,"Deirdre Hughes
								(Applicant); Deirdre Hughes
								(1st Party Appellant)
															(Active)",53.3553696,-6.2346074
